Sample in Buffer,Sample in Window,TRIGGER,System_i/system_ila_0/U0/net_slot_0_axis_tdata[31:0],System_i/system_ila_0/U0/net_slot_0_axis_tuser,System_i/system_ila_0/U0/net_slot_0_axis_tvalid,System_i/system_ila_0/U0/net_slot_0_axis_tready,System_i/system_ila_0/U0/net_slot_0_axis_tlast,Interface_(i1:s0)_(OV7670_Interface_0_M_AXIS)[2:0],T_Channel_(i1:s0)_(OV7670_Interface_0_M_AXIS)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,00000000,0,0,1,0,"Inactive","No Streams"
1,1,0,00000000,0,0,1,0,"Inactive","No Streams"
2,2,0,00000000,0,0,1,0,"Inactive","No Streams"
3,3,0,00000000,0,0,1,0,"Inactive","No Streams"
4,4,0,00000000,0,0,1,0,"Inactive","No Streams"
5,5,0,00000000,0,0,1,0,"Inactive","No Streams"
6,6,0,00000000,0,0,1,0,"Inactive","No Streams"
7,7,0,00000000,0,0,1,0,"Inactive","No Streams"
8,8,0,00000000,0,0,1,0,"Inactive","No Streams"
9,9,0,00000000,0,0,1,0,"Inactive","No Streams"
10,10,0,00000000,0,0,1,0,"Inactive","No Streams"
11,11,0,00000000,0,0,1,0,"Inactive","No Streams"
12,12,0,00000000,0,0,1,0,"Inactive","No Streams"
13,13,0,00000000,0,0,1,0,"Inactive","No Streams"
14,14,0,00000000,0,0,1,0,"Inactive","No Streams"
15,15,0,00000000,0,0,1,0,"Inactive","No Streams"
16,16,0,00000000,0,0,1,0,"Inactive","No Streams"
17,17,0,00000000,0,0,1,0,"Inactive","No Streams"
18,18,0,00000000,0,0,1,0,"Inactive","No Streams"
19,19,0,00000000,0,0,1,0,"Inactive","No Streams"
20,20,0,00000000,0,0,1,0,"Inactive","No Streams"
21,21,0,00000000,0,0,1,0,"Inactive","No Streams"
22,22,0,00000000,0,0,1,0,"Inactive","No Streams"
23,23,0,00000000,0,0,1,0,"Inactive","No Streams"
24,24,0,00000000,0,0,1,0,"Inactive","No Streams"
25,25,0,00000000,0,0,1,0,"Inactive","No Streams"
26,26,0,00000000,0,0,1,0,"Inactive","No Streams"
27,27,0,00000000,0,0,1,0,"Inactive","No Streams"
28,28,0,00000000,0,0,1,0,"Inactive","No Streams"
29,29,0,00000000,0,0,1,0,"Inactive","No Streams"
30,30,0,00000000,0,0,1,0,"Inactive","No Streams"
31,31,0,00000000,0,0,1,0,"Inactive","No Streams"
32,32,0,00000000,0,0,1,0,"Inactive","No Streams"
33,33,0,00000000,0,0,1,0,"Inactive","No Streams"
34,34,0,00000000,0,0,1,0,"Inactive","No Streams"
35,35,0,00000000,0,0,1,0,"Inactive","No Streams"
36,36,0,00000000,0,0,1,0,"Inactive","No Streams"
37,37,0,00000000,0,0,1,0,"Inactive","No Streams"
38,38,0,00000000,0,0,1,0,"Inactive","No Streams"
39,39,0,00000000,0,0,1,0,"Inactive","No Streams"
40,40,0,00000000,0,0,1,0,"Inactive","No Streams"
41,41,0,00000000,0,0,1,0,"Inactive","No Streams"
42,42,0,00000000,0,0,1,0,"Inactive","No Streams"
43,43,0,00000000,0,0,1,0,"Inactive","No Streams"
44,44,0,00000000,0,0,1,0,"Inactive","No Streams"
45,45,0,00000000,0,0,1,0,"Inactive","No Streams"
46,46,0,00000000,0,0,1,0,"Inactive","No Streams"
47,47,0,00000000,0,0,1,0,"Inactive","No Streams"
48,48,0,00000000,0,0,1,0,"Inactive","No Streams"
49,49,0,00000000,0,0,1,0,"Inactive","No Streams"
50,50,0,00000000,0,0,1,0,"Inactive","No Streams"
51,51,0,00000000,0,0,1,0,"Inactive","No Streams"
52,52,0,00000000,0,0,1,0,"Inactive","No Streams"
53,53,0,00000000,0,0,1,0,"Inactive","No Streams"
54,54,0,00000000,0,0,1,0,"Inactive","No Streams"
55,55,0,00000000,0,0,1,0,"Inactive","No Streams"
56,56,0,00000000,0,0,1,0,"Inactive","No Streams"
57,57,0,00000000,0,0,1,0,"Inactive","No Streams"
58,58,0,00000000,0,0,1,0,"Inactive","No Streams"
59,59,0,00000000,0,0,1,0,"Inactive","No Streams"
60,60,0,00000000,0,0,1,0,"Inactive","No Streams"
61,61,0,00000000,0,0,1,0,"Inactive","No Streams"
62,62,0,00000000,0,0,1,0,"Inactive","No Streams"
63,63,0,00000000,0,0,1,0,"Inactive","No Streams"
64,64,0,00000000,0,0,1,0,"Inactive","No Streams"
65,65,0,00000000,0,0,1,0,"Inactive","No Streams"
66,66,0,00000000,0,0,1,0,"Inactive","No Streams"
67,67,0,00000000,0,0,1,0,"Inactive","No Streams"
68,68,0,00000000,0,0,1,0,"Inactive","No Streams"
69,69,0,00000000,0,0,1,0,"Inactive","No Streams"
70,70,0,00000000,0,0,1,0,"Inactive","No Streams"
71,71,0,00000000,0,0,1,0,"Inactive","No Streams"
72,72,0,00000000,0,0,1,0,"Inactive","No Streams"
73,73,0,00000000,0,0,1,0,"Inactive","No Streams"
74,74,0,00000000,0,0,1,0,"Inactive","No Streams"
75,75,0,00000000,0,0,1,0,"Inactive","No Streams"
76,76,0,00000000,0,0,1,0,"Inactive","No Streams"
77,77,0,00000000,0,0,1,0,"Inactive","No Streams"
78,78,0,00000000,0,0,1,0,"Inactive","No Streams"
79,79,0,00000000,0,0,1,0,"Inactive","No Streams"
80,80,0,00000000,0,0,1,0,"Inactive","No Streams"
81,81,0,00000000,0,0,1,0,"Inactive","No Streams"
82,82,0,00000000,0,0,1,0,"Inactive","No Streams"
83,83,0,00000000,0,0,1,0,"Inactive","No Streams"
84,84,0,00000000,0,0,1,0,"Inactive","No Streams"
85,85,0,00000000,0,0,1,0,"Inactive","No Streams"
86,86,0,00000000,0,0,1,0,"Inactive","No Streams"
87,87,0,00000000,0,0,1,0,"Inactive","No Streams"
88,88,0,00000000,0,0,1,0,"Inactive","No Streams"
89,89,0,00000000,0,0,1,0,"Inactive","No Streams"
90,90,0,00000000,0,0,1,0,"Inactive","No Streams"
91,91,0,00000000,0,0,1,0,"Inactive","No Streams"
92,92,0,00000000,0,0,1,0,"Inactive","No Streams"
93,93,0,00000000,0,0,1,0,"Inactive","No Streams"
94,94,0,00000000,0,0,1,0,"Inactive","No Streams"
95,95,0,00000000,0,0,1,0,"Inactive","No Streams"
96,96,0,00000000,0,0,1,0,"Inactive","No Streams"
97,97,0,00000000,0,0,1,0,"Inactive","No Streams"
98,98,0,00000000,0,0,1,0,"Inactive","No Streams"
99,99,0,00000000,0,0,1,0,"Inactive","No Streams"
100,100,0,00000000,0,0,1,0,"Inactive","No Streams"
101,101,0,00000000,0,0,1,0,"Inactive","No Streams"
